Designator,Mid X,Mid Y,Rotation,Layer
AE1,-9.325,27.26701,0.0,top
BAT,21.975,31.93701,180.0,top
C1,13.1,11.608,0.0,top
C10,11.875,32.36701,0.0,top
C11,13.2,22.5,0.0,top
C12,-2.845,9.96701,180.0,bottom
C13,-5.665,11.03701,90.0,bottom
C14,-10.0,33.07951,270.0,top
C15,-3.125,35.3,0.0,top
C16,10.075,30.76701,90.0,bottom
C17,11.975,30.96701,90.0,bottom
C18,-6.3,29.0,90.0,bottom
C19,19.505,30.55701,180.0,bottom
C2,8.625,10.3,180.0,top
C20,-4.125,29.15451,90.0,bottom
C21,-13.029,36.57221,0.0,bottom
C22,-12.625,29.11701,90.0,bottom
C23,-4.625,7.61701,180.0,top
C24,-7.375,11.06701,270.0,bottom
C25,-10.225,12.37701,0.0,bottom
C26,-13.395,18.33701,45.0,bottom
C3,13.1,13.85,0.0,top
C4,13.1,15.9,0.0,top
C5,13.1,18.1,0.0,top
C6,13.1,20.25,0.0,top
C7,13.2,26.9,0.0,top
C8,13.315,8.61701,90.0,top
C9,13.2,24.7,0.0,top
D1,8.375,14.75,180.0,top
D2,8.375,12.5,0.0,top
D3,16.225,32.36701,180.0,top
D4,4.375,27.86701,0.0,top
D5,-2.7,27.86701,0.0,top
D6,-10.125,27.88402,0.0,top
D7,22.625,34.36701,180.0,bottom
D8,11.195,36.35701,180.0,bottom
EINK1,19.848,19.99,90.0,top
IO0,20.275,26.18701,180.0,bottom
J1,-2.125,27.56701,0.0,bottom
J2,-4.795,15.19701,90.0,top
J5,2.1,16.0,0.0,top
J6,-15.2,24.11201,0.0,top
J7,-5.3,16.0,0.0,top
JOG,3.8825,37.40201,0.0,top
L1,8.8232,22.611186,0.0,top
Q1,10.375,29.36701,180.0,top
R1,15.375,30.11701,0.0,top
R10,-2.925,11.96701,180.0,bottom
R11,-10.125,20.36701,45.0,bottom
R12,-6.925,20.06701,90.0,bottom
R13,-8.465,7.57701,180.0,top
R14,11.275,34.26701,0.0,bottom
R15,15.181,34.33701,180.0,top
R16,-12.5525,35.04821,180.0,bottom
R17,22.875,36.36701,0.0,bottom
R18,-5.375,20.8,180.0,top
R19,19.975,35.56701,90.0,bottom
R2,-3.625,20.86701,0.0,bottom
R20,-15.2,13.43701,180.0,bottom
R21,-13.565,10.66701,90.0,bottom
R23,22.635,23.73701,0.0,bottom
R24,17.315,9.84951,90.0,top
R25,15.775,9.87701,90.0,top
R26,20.135,22.81701,90.0,bottom
R27,23.085,13.29701,180.0,bottom
R3,-4.025,18.86701,0.0,bottom
R4,22.525,25.29701,180.0,bottom
R5,11.375,34.36701,180.0,top
R6,-3.125,32.86701,180.0,bottom
R7,-2.875,32.45,270.0,top
R8,10.175,25.86701,90.0,top
R9,19.625,32.7,0.0,bottom
RES,-5.625,14.26701,90.0,bottom
SI2,23.175,30.92951,90.0,bottom
SW1,-8.0,35.65,180.0,bottom
SW2,16.0,35.65,180.0,bottom
U1,9.6,15.17701,180.0,bottom
U10,-16.4839,35.45511,180.0,bottom
U11,27.335,18.79701,90.0,bottom
U12,-10.91,14.90201,270.0,bottom
U13,-4.695,7.37701,180.0,bottom
U2,-9.405,31.31701,180.0,bottom
U3,-5.125,24.11501,0.0,bottom
U4,-6.625,32.61701,0.0,top
U5,-3.625,16.86701,180.0,top
U6,-10.225,8.38701,270.0,bottom
U7,14.975,31.08901,0.0,bottom
U8,-10.373,24.36701,0.0,bottom
U9,-16.544,35.54721,270.0,top
USB,4.0,34.4385,180.0,bottom
